checkpoint,cluster,environment,space,upstream,expected_revision,expected_background_replicas,expected_drift_check,observed_release,observed_background_replicas,observed_drift_check,proof_status,blocker,evidence
baseline,hx-sveltos-env-pilot,pilot,sveltos-kyverno-bulk-pilot,sveltos-kyverno-bulk-base,r1-8a4e405bd347,2,none,kyverno-3.8.2,2,none,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
baseline,hx-sveltos-env-staging,staging,sveltos-kyverno-bulk-staging,sveltos-kyverno-bulk-base,r1-93901308d341,2,none,kyverno-3.8.2,2,none,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
baseline,hx-sveltos-env-prod-a,prod,sveltos-kyverno-bulk-prod-a,sveltos-kyverno-bulk-base,r1-b62778181d41,2,none,kyverno-3.8.2,2,none,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
baseline,hx-sveltos-env-prod-b,prod,sveltos-kyverno-bulk-prod-b,sveltos-kyverno-bulk-base,r1-e6a73d239e82,2,none,kyverno-3.8.2,2,none,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
after-fanout,hx-sveltos-env-pilot,pilot,sveltos-kyverno-bulk-pilot,sveltos-kyverno-bulk-base,r2-d840465209d6,3,none,kyverno-3.8.2,3,none,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
after-fanout,hx-sveltos-env-staging,staging,sveltos-kyverno-bulk-staging,sveltos-kyverno-bulk-base,r2-33378fa6e32b,3,none,kyverno-3.8.2,3,none,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
after-fanout,hx-sveltos-env-prod-a,prod,sveltos-kyverno-bulk-prod-a,sveltos-kyverno-bulk-base,r2-5f09dd1e8f52,3,none,kyverno-3.8.2,3,none,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
after-fanout,hx-sveltos-env-prod-b,prod,sveltos-kyverno-bulk-prod-b,sveltos-kyverno-bulk-base,r2-9f351f97f3ef,3,none,kyverno-3.8.2,3,none,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
zero-drift-audit,hx-sveltos-env-pilot,pilot,sveltos-kyverno-bulk-pilot,sveltos-kyverno-bulk-base,r2-d840465209d6,3,injected-and-restored,kyverno-3.8.2,3,injected-and-restored,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
zero-drift-audit,hx-sveltos-env-staging,staging,sveltos-kyverno-bulk-staging,sveltos-kyverno-bulk-base,r2-33378fa6e32b,3,injected-and-restored,kyverno-3.8.2,3,injected-and-restored,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
zero-drift-audit,hx-sveltos-env-prod-a,prod,sveltos-kyverno-bulk-prod-a,sveltos-kyverno-bulk-base,r2-5f09dd1e8f52,3,injected-and-restored,kyverno-3.8.2,3,injected-and-restored,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
zero-drift-audit,hx-sveltos-env-prod-b,prod,sveltos-kyverno-bulk-prod-b,sveltos-kyverno-bulk-base,r2-9f351f97f3ef,3,injected-and-restored,kyverno-3.8.2,3,injected-and-restored,observed-pass,,examples/sveltos/bulk-ops/clusterprofile-base.yaml;examples/sveltos/bulk-ops/variants.yaml;examples/sveltos/bulk-ops/bulk-change.yaml
