checkpoint,cluster,environment,wave,space,upstream,departures,expected_revision,expected_background_replicas,observed_release,observed_background_replicas,proof_status,blocker,evidence
baseline,hx-sveltos-env-pilot,pilot,1,sveltos-kyverno-env-pilot,sveltos-kyverno-env-base,spec.stopMatchingBehavior=WithdrawPolicies,r1-584811b8a981,1,kyverno-3.8.1,1,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
baseline,hx-sveltos-env-staging,staging,2,sveltos-kyverno-env-staging,sveltos-kyverno-env-base,spec.stopMatchingBehavior=WithdrawPolicies,r1-558f1f5b7f18,1,kyverno-3.8.1,1,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
baseline,hx-sveltos-env-prod-a,prod,3,sveltos-kyverno-env-prod-a,sveltos-kyverno-env-base,spec.stopMatchingBehavior=LeavePolicies,r1-5d3f50a38643,1,kyverno-3.8.1,1,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
baseline,hx-sveltos-env-prod-b,prod,3,sveltos-kyverno-env-prod-b,sveltos-kyverno-env-base,spec.stopMatchingBehavior=LeavePolicies,r1-f32c12212414,1,kyverno-3.8.1,1,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
after-wave-1,hx-sveltos-env-pilot,pilot,1,sveltos-kyverno-env-pilot,sveltos-kyverno-env-base,spec.stopMatchingBehavior=WithdrawPolicies,r2-2c6a2fcb7349,2,kyverno-3.8.1,2,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
after-wave-1,hx-sveltos-env-staging,staging,2,sveltos-kyverno-env-staging,sveltos-kyverno-env-base,spec.stopMatchingBehavior=WithdrawPolicies,r1-558f1f5b7f18,1,kyverno-3.8.1,1,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
after-wave-1,hx-sveltos-env-prod-a,prod,3,sveltos-kyverno-env-prod-a,sveltos-kyverno-env-base,spec.stopMatchingBehavior=LeavePolicies,r1-5d3f50a38643,1,kyverno-3.8.1,1,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
after-wave-1,hx-sveltos-env-prod-b,prod,3,sveltos-kyverno-env-prod-b,sveltos-kyverno-env-base,spec.stopMatchingBehavior=LeavePolicies,r1-f32c12212414,1,kyverno-3.8.1,1,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
after-wave-2,hx-sveltos-env-pilot,pilot,1,sveltos-kyverno-env-pilot,sveltos-kyverno-env-base,spec.stopMatchingBehavior=WithdrawPolicies,r2-2c6a2fcb7349,2,kyverno-3.8.1,2,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
after-wave-2,hx-sveltos-env-staging,staging,2,sveltos-kyverno-env-staging,sveltos-kyverno-env-base,spec.stopMatchingBehavior=WithdrawPolicies,r2-ae67b227bea8,2,kyverno-3.8.1,2,observed-pass,,examples/sveltos/env-rollout/clusterprofile-base.yaml;examples/sveltos/env-rollout/variants.yaml;examples/sveltos/env-rollout/change-candidate.yaml
